!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
Muoi: the Legend of a Portrait (2007) |   3.4 stars, 1hr 34m
Muran (2011) |   3.3 stars, 2hr 20m
Murder! (1930) |   3.1 stars, 1hr 53m
Murder, She Wrote (1984-1995) |   3.6 stars, 12 Seasons
Murder, Take One (2005) |   3 stars, 1hr 58m
Murder by the Book (1987) |   2.8 stars, 1hr 34m
Murder in Greenwich (2002) |   3.5 stars, 1hr 28m
Murder in Suburbia (2004-2005) |   3.6 stars, 2 Series
Murder Loves Killers Too (2009) |   2.4 stars, 1hr 14m
Murder One (1988) |   3.3 stars, 1hr 24m
Murder Princess (2007) |   3.7 stars, 6 Episodes
Murders in the Rue Morgue (1971) |   2.7 stars, 1hr 38m
Murdoch Mysteries (2008-2010) |   3.7 stars, 3 Seasons
Muriel's Wedding (1994) |   3.5 stars, 1hr 45m
Mushi-Shi (2005) |   4 stars, 26 Episodes
Music Instinct: Science and Song (2009) |   4 stars, 1hr 53m
Music of the Heart (1999) |   3.5 stars, 2hr 3m
Music Within (2007) |   3.7 stars, 1hr 33m
Mutant Girls Squad (2010) |   2.7 stars, 1hr 29m
Mutant Hunt (1987) |   2.1 stars, 1hr 16m
Mutant Vampire Zombies from the 'Hood! (2008) |   2.8 stars, 1hr 21m
Mutants (2009) |   3.2 stars, 1hr 29m
MXP: Most Extreme Primate (2004) |   3.4 stars, 1hr 28m
My American Cousin (1985) |   2.8 stars, 1hr 29m
My Architect: A Son's Journey (2003) |   3.7 stars, 1hr 55m
My Best Friend's Wedding (1997) |   3.6 stars, 1hr 44m
My Big, Big Friend (2009) |   3.6 stars, 1 Season
My Boys (2006-2010) |   3.7 stars, 4 Seasons
My Brilliant Career (1979) |   3.5 stars, 1hr 39m
My Brother (2007) |   3.3 stars, 1hr 46m
My Brother's Keeper (1948) |   , 1hr 26m
My Brother's War (2005) |   2.7 stars, 1hr 49m
My Chauffeur (1986) |   3.4 stars, 1hr 37m
My Date with Drew (2003) |   3.3 stars, 1hr 30m
My Dog: An Unconditional Love Story (2010) |   3.8 stars, 50m
My Fair Lady (2010) |   , 16 Episodes
My Fair Wedding (2009-2011) |   4 stars, 3 Seasons
My Fake Fianc� (2009) |   3.9 stars, 1hr 27m
My Father the Genius (2002) |   3.2 stars, 1hr 23m
My Favorite Spy (1951) |   3.5 stars, 1hr 33m
My Fellow Americans (1996) |   3.7 stars, 1hr 41m
My First War (2008) |   2.8 stars, 1hr 21m
My Future Boyfriend (2011) |   3.3 stars, 1hr 15m
My Girl (2003) |   , 1hr 48m
My Girlfriend's Boyfriend (2010) |   3.5 stars, 1hr 24m
My Girlfriend Is a Gumiho (2010) |   4.1 stars, 16 Episodes
My Gun Is Quick (1957) |   3.2 stars, 1hr 31m
My Joy (2010) |   2.6 stars, 2hr 8m
My Kingdom (2011) |   3.4 stars, 1hr 39m
My Last Five Girlfriends (2009) |   2.8 stars, 1hr 27m
My Left Foot (1989) |   3.9 stars, 1hr 43m
My Life So Far (1999) |   3.4 stars, 1hr 34m
My Little Eye (2002) |   2.8 stars, 1hr 35m
My Little Pony: Friendship Is Magic (2010-2011) |   3.9 stars, 2 Seasons
My Mother's Smile (2005) |   2.9 stars, 1hr 40m
My Name Is Earl (2005-2008) |   3.9 stars, 4 Seasons
My Name Is Jerry (2009) |   3.1 stars, 1hr 40m
My Name Is Modesty (2004) |   3.3 stars, 1hr 17m
My Name Is Nobody (1974) |   3.7 stars, 1hr 55m
My Normal (2009) |   2.8 stars, 1hr 15m
My Own Love Song (2010) |   3.2 stars, 1hr 41m
My Pal Trigger (1946) |   3.4 stars, 1hr 18m
My Perestroika (2010) |   3.5 stars, 1hr 27m
My Piece of the Pie (2011) |   3.2 stars, 1hr 49m
My Princess (2011) |   4.1 stars, 16 Episodes
My Reincarnation (2011) |   2.9 stars, 1hr 41m
My Run (2009) |   3 stars, 1hr 24m
My Scary Girl (2006) |   3.2 stars, 1hr 52m
My Sister Maria (2002) |   3 stars, 1hr 30m
My Six Loves (1963) |   3.8 stars, 1hr 41m
My So-Called Life (1994) |   4 stars, 19 Episodes
My Son, the Hero (1962) |   2.5 stars, 1hr 55m
My Son John (1952) |   2.6 stars, 2hr 1m
My Son the Fanatic (1997) |   3.1 stars, 1hr 27m
My Strange Addiction (2011) |   , 1 Season
My Summer of Love (2004) |   2.9 stars, 1hr 26m
My Teacher's Wife (1995) |   3.3 stars, 1hr 29m
My Tutor (1983) |   3.1 stars, 1hr 33m
My Tutor Friend 2 (2007) |   3.5 stars, 2hr 6m
My War Diary (2007) |   3.7 stars, 1 Season
My Way (2011) |   4 stars, 2hr 23m
My Year Without Sex (2009) |   2.9 stars, 1hr 36m
Mysteries of Lisbon (2010) |   2.8 stars, 4hr 26m
Mysteries of the Bible: Abraham: One Man, One God (1994) |   3.8 stars, 44m
Mysteries of the Bible: Apocalypse: The Puzzle of Revelation (1994) |   3.5 stars, 42m
Mysteries of the Bible: Archenemy: The Philistines (1994) |   3.7 stars, 45m
Mysteries of the Bible: Prophets: Soul Catchers (1994) |   3.7 stars, 43m
Mysteries of the Bible: The Bible's Greatest Secrets (1995) |   3.5 stars, 42m
Mysteries of the Bible: The Execution of Jesus (1995) |   3.5 stars, 42m
Mysterious Mamberamo (2001) |   3.6 stars, 1hr 4m
Mysterious Mr. Wong (1935) |   3.1 stars, 1hr 2m
Mystery Liner (1934) |   3 stars, 1hr 2m
Mystery of the 13th Guest (1943) |   3.3 stars, 1hr 1m
Mystery of the Sphinx (1993) |   3.8 stars, 1hr 33m
Mystery Science Theater 3000: Final Justice (1999) |   3.8 stars, 1hr 32m
Mystery Science Theater 3000: Mad Monster (1989) |   3.5 stars, 1hr 35m
Mystery Science Theater 3000: Manhunt in Space (1992) |   3.7 stars, 1hr 32m
Mystery Science Theater 3000: Monster a Go-Go (1993) |   3.6 stars, 1hr 32m
Mystery Science Theater 3000: Night of the Blood Beast (1996) |   3.8 stars, 1hr 31m
Mystery Science Theater 3000: Santa Claus (1993) |   3.7 stars, 1hr 32m
Mystery Science Theater 3000: Secret Agent, Super Dragon (1993) |   3.6 stars, 1hr 32m
Mystery Science Theater 3000: Soultaker (1999) |   3.8 stars, 1hr 32m
Mystery Science Theater 3000: The Corpse Vanishes (1989) |   3.6 stars, 1hr 29m
Mystery Science Theater 3000: The Giant Gila Monster (1992) |   3.7 stars, 1hr 31m
Mystery Science Theater 3000: The Movie (1996) |   3.8 stars, 1hr 14m
Mystery Science Theater 3000: The Rebel Set (1992) |   3.6 stars, 1hr 32m
Mystery Science Theater 3000: The Starfighters (1994) |   3.6 stars, 1hr 32m
Mystery Science Theater 3000: Warrior of the Lost World (1993) |   3.7 stars, 1hr 32m
MythBusters (2003-2011) |   4.1 stars, 9 Collections
MythBusters: Big Blasts Collection (2008) |   4.1 stars, 10 Episodes
MythQuest (2001) |   3.4 stars, 1 Season
N�nette (2010) |   2.7 stars, 1hr 7m
N-Secure (2010) |   3.7 stars, 1hr 45m
Nabari no Ou (2008) |   3.8 stars, 1 Season
Naked (1993) |   3.5 stars, 2hr 5m
Naked Africa (1957) |   2.9 stars, 1hr 9m
Naked Ambition: An R-Rated Look at an X-Rated Industry (2009) |   2.9 stars, 1hr 20m
Naked Boys Singing! (2007) |   3 stars, 1hr 23m
Naked Fear (2007) |   3 stars, 1hr 48m
Nakhuda (1981) |   , 1hr 52m
Namu: My Best Friend (1966) |   3.1 stars, 1hr 29m
Nana (1982) |   2.8 stars, 1hr 32m
Nancy Drew (1995) |   3.1 stars, 1 Season
Nancy Reagan: The Role of a Lifetime (2010) |   3.5 stars, 55m
Nanny 911 (2004-2006) |   3.7 stars, 3 Seasons
Naqoyqatsi (2002) |   3.2 stars, 1hr 29m
Naruto (2007-2008) |   4.1 stars, 2 Seasons
Naruto the Movie: Ninja Clash in the Land of Snow (2004) |   4 stars, 1hr 22m
Naruto the Movie 2: Legend of the Stone of Gelel (2005) |   3.9 stars, 1hr 36m
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom (2006) |   3.9 stars, 1hr 35m
National Geographic: 21 Days to Baghdad (2003) |   3.8 stars, 1hr 2m
National Geographic: 30 Years of National Geographic Specials (1996) |   3.8 stars, 1hr 30m
National Geographic: Amazing Planet (2005) |   4.1 stars, 3 Episodes
National Geographic: American Serengeti (2010) |   4 stars, 50m
National Geographic: Antarctic Wildlife Adventure (1991) |   3.6 stars, 47m
National Geographic: Appalachian Trail (2009) |   3.9 stars, 50m
National Geographic: Arlington: Field of Honor (2005) |   4.2 stars, 54m
National Geographic: Aryan Brotherhood (2007) |   3.6 stars, 50m
National Geographic: Asteroids: Deadly Impact (1997) |   3.8 stars, 55m
National Geographic: Bear Island (2007) |   3.8 stars, 56m
National Geographic: Beyond the Movie: Alexander the Great (2004) |   3.6 stars, 53m
National Geographic: Beyond the Movie: The Lord of the Rings: The Fellowship of the Ring (2001) |   3.5 stars, 52m
National Geographic: Beyond the Movie: The Lord of the Rings: The Return of the King (2003) |   3.8 stars, 51m
National Geographic: Beyond the Movie: The New World: Nightmare in Jamestown (2005) |   3.6 stars, 51m
National Geographic: Big Sur: Wild California (2010) |   3.6 stars, 50m
National Geographic: Camp Leatherneck (2010) |   3.9 stars, 50m
National Geographic: China's Lost Girls (2005) |   3.9 stars, 43m
National Geographic: Civil War Gold (2004) |   3.8 stars, 56m
National Geographic: Climbing Redwood Giants (2009) |   3.9 stars, 45m
National Geographic: Dawn of the Maya (2004) |   3.8 stars, 56m
National Geographic: Diamonds of War: Africa's Blood Diamonds (2007) |   3.7 stars, 55m
National Geographic: Dinosaur Hunters: Secrets of the Gobi Desert (2002) |   3.6 stars, 54m
National Geographic: Dinosaurs Unearthed (2007) |   3.9 stars, 2 Episodes
National Geographic: Eden at the End of the World (2008) |   3.7 stars, 55m
National Geographic: Egypt: Secrets of the Pharaohs (1998) |   3.8 stars, 58m
National Geographic: Eternal Enemies: Lions and Hyenas (2006) |   4.1 stars, 56m
National Geographic: Explorer: 25 Years (2010) |   4.1 stars, 1hr 32m
National Geographic: Extreme Alaska: Denali National Park (2007) |   3.9 stars, 45m
National Geographic: Gabon: The Last Eden (2007) |   3.9 stars, 52m
National Geographic: Guns, Germs and Steel (2005) |   3.9 stars, 3 Episodes
National Geographic: Herod's Lost Tomb (2008) |   3.7 stars, 45m
National Geographic: Inside American Power: Air Force One (2001) |   3.7 stars, 56m
National Geographic: Inside American Power: The Pentagon (2002) |   3.5 stars, 1hr 30m
National Geographic: Inside Guantanamo (2009) |   3.7 stars, 1hr 31m
National Geographic: Inside Mecca (2003) |   3.7 stars, 56m
National Geographic: Inside North Korea (2006) |   3.9 stars, 50m
National Geographic: Inside Shock and Awe (2005) |   3.7 stars, 52m
National Geographic: Inside Special Forces (2003) |   3.8 stars, 56m
National Geographic: Inside the U.S. Secret Service (2004) |   3.7 stars, 1hr 33m
National Geographic: Inside the Vatican (2001) |   3.5 stars, 56m
National Geographic: Inside the White House (1996) |   3.7 stars, 1hr 26m
National Geographic: Into the Great Pyramid (2002) |   3.7 stars, 1hr 28m
National Geographic: Iraq's Guns for Hire (2007) |   3.8 stars, 45m
National Geographic: King Tut's Final Secrets (2005) |   3.9 stars, 1hr 34m
National Geographic: Lewis and Clark: Great Journey West (2002) |   3.8 stars, 41m
National Geographic: Lost Subs: Disaster at Sea (2002) |   3.7 stars, 54m
National Geographic: Moment of Death (2008) |   3.6 stars, 50m
National Geographic: Most Amazing Moments (2004) |   3.7 stars, 1hr 29m
National Geographic: Pearl Harbor: Legacy of Attack (2001) |   3.9 stars, 1hr 28m
National Geographic: Predators at War (2005) |   3.9 stars, 1hr 36m
National Geographic: Return to Everest/Surviving Everest (1999) |   3.5 stars, 1hr 37m
National Geographic: Science of Babies (2007) |   3.8 stars, 45m
National Geographic: Science of Dogs (2007) |   4 stars, 45m
National Geographic: Science of Evil (2008) |   3.4 stars, 45m
National Geographic: Search for the Battleship Bismarck (1989) |   3.8 stars, 52m
National Geographic: Secret Yellowstone (2007) |   3.9 stars, 45m
National Geographic: Secret Yosemite (2007) |   3.7 stars, 45m
National Geographic: Secrets of Jerusalem's Holiest Sites (2006) |   3.6 stars, 1hr 15m
National Geographic: Shark Superhighway (2008) |   3.8 stars, 50m
National Geographic: Six Degrees Could Change the World (2007) |   3.8 stars, 1hr 36m
National Geographic: Sky Monsters (2006) |   3.7 stars, 1hr 30m
National Geographic: Solitary Confinement (2010) |   3.7 stars, 52m
National Geographic: Stonehenge Decoded (2008) |   3.6 stars, 1hr 31m
National Geographic: Stress: Portrait of a Killer (2008) |   3.8 stars, 55m
National Geographic: Super Carrier (2006) |   3.9 stars, 50m
National Geographic: Super Chopper (2006) |   3.7 stars, 51m
National Geographic: Super Croc (2002) |   3.8 stars, 1hr 35m
National Geographic: Surviving West Point (2002) |   3.6 stars, 5 Episodes
National Geographic: The Battle for Midway (1999) |   3.9 stars, 1hr 23m
National Geographic: The FBI (2003) |   3.5 stars, 56m
National Geographic: The Gospel of Judas (2005) |   3.7 stars, 1hr 28m
National Geographic: The Great Inca Rebellion (2007) |   3.7 stars, 52m
National Geographic: The Human Family Tree (2009) |   3.9 stars, 1hr 32m
National Geographic: The Incredible Human Body (2002) |   3.6 stars, 56m
National Geographic: The Last Royals (2005) |   3.2 stars, 53m
National Geographic: The Lost Fleet of Guadalcanal (1996) |   3.9 stars, 1hr 53m
National Geographic: The Search for Kennedy's PT 109 (2002) |   3.7 stars, 54m
National Geographic: Through the Lens (2002) |   3.5 stars, 47m
National Geographic: Thunderbeast (2006) |   3.8 stars, 52m
National Geographic: Tigers of the Snow (1997) |   3.9 stars, 54m
National Geographic: Tornado Intercept (2005) |   3.6 stars, 52m
National Geographic: Ultimate Cat (2006) |   3.9 stars, 45m
National Geographic: Ultimate Crocodile (2007) |   3.8 stars, 50m
National Geographic: Vietnam's Unseen War: Pictures from the Other Side (2002) |   3.6 stars, 54m
National Geographic: Volcano: Nature's Inferno (1997) |   3.9 stars, 55m
National Geographic: World's Most Dangerous Drug (2006) |   3.7 stars, 51m
National Geographic: World's Most Dangerous Gang (2006) |   3.6 stars, 51m
National Lampoon's Dad's Week Off (1997) |   3 stars, 1hr 39m
National Lampoon's Movie Madness (1982) |   2.4 stars, 1hr 29m
National Lampoon's Pledge This! (2006) |   2.3 stars, 1hr 30m
National Lampoon's Spring Break (2007) |   2.4 stars, 1hr 10m
National Lampoon's The Don's Analyst (1997) |   3 stars, 1hr 44m
National Lampoon's The Legend of Awesomest Maximus (2011) |   3.2 stars, 1hr 30m
National Lampoon Presents Cattle Call (2008) |   2.6 stars, 1hr 27m
National Security (2003) |   3.4 stars, 1hr 28m
Nativity! (2009) |   3.6 stars, 1hr 46m
Natural Born Killers: Director's Cut (1994) |   3.5 stars, 1hr 58m
Nature's Deadliest (2008) |   3.9 stars, 1 Season
Nature: Birds of the Gods (2011) |   4 stars, 52m
Nature: Braving Iraq (2010) |   3.7 stars, 53m
Nature: Wolverine: Chasing the Phantom (2010) |   4 stars, 53m
Nature Boy Ric Flair: The Definitive Collection (2008) |   4 stars, 1hr 55m
Navajo Joe (1966) |   3.2 stars, 1hr 32m
Navajo Trail Raiders (1949) |   3.3 stars, 1hr
Nazi Medicine / The Cross and the Star: Double Feature (1997) |   3.4 stars, 2 episodes
Nazis at the Center of the Earth (2012) |   2.4 stars, 1hr 29m
nbt: Never Been Thawed (2005) |   2.7 stars, 1hr 27m
Neal 'n Nikki (2005) |   3 stars, 1hr 37m
Neanderthal Man (1953) |   2.6 stars, 1hr 18m
Necessary Roughness (1991) |   3.5 stars, 1hr 48m
Necrosis (2009) |   2.5 stars, 1hr 16m
Ned's Declassified School Survival Guide (2004-2006) |   4 stars, 3 Seasons
Ned Kelly (2004) |   3.5 stars, 1hr 49m
Neds (2010) |   3.4 stars, 2hr 4m
Needless (2009) |   4 stars, 24 Episodes
Negative Happy Chain Saw Edge (2007) |   3 stars, 1hr 49m
Negima!?: Magister Negi Magi (2006) |   3.8 stars, 2 Parts
Neil Diamond: The Thank You Australia Concert: Live 1976 (2008) |   3.3 stars, 1hr 52m
Neil Simon's The Sunshine Boys (1995) |   3 stars, 1hr 30m
Nemesis Game (2003) |   3.1 stars, 1hr 31m
Neo Ned (2005) |   3.5 stars, 1hr 37m
Neon Flesh (2010) |   2.7 stars, 1hr 46m
Nephew Tommy: Just My Thoughts (2011) |   3.2 stars, 48m
Nerdcore Rising (2008) |   3.5 stars, 1hr 19m
Network (1976) |   3.9 stars, 2hr 1m
Never Again (2001) |   3.1 stars, 1hr 37m
Never Back Down 2: The Beatdown (2011) |   3.9 stars, 1hr 43m
Never Forever (2007) |   3.1 stars, 1hr 41m
Never Love a Stranger (1958) |   2.8 stars, 1hr 31m
Never on Sunday (1960) |   3.4 stars, 1hr 32m
Never on Tuesday (1988) |   2.6 stars, 1hr 27m
Never Say Never Again (1983) |   3.6 stars, 2hr 14m
Never Stand Still: Dancing at Jacob's Pillow (2011) |   , 1hr 13m
Never Too Late (1997) |   3.1 stars, 1hr 36m
Neverland (2011) |   4 stars, 2 Episodes
Neverwas (2005) |   3.4 stars, 1hr 42m
New Legend of Shaolin (1994) |   3.7 stars, 1hr 33m
New Low (2009) |   2.7 stars, 1hr 21m
New Muslim Cool (2009) |   3.5 stars, 1hr 21m
New Rose Hotel (1998) |   2.5 stars, 1hr 33m
New Town Killers (2008) |   3.3 stars, 1hr 40m
New Waterford Girl (1999) |   3.2 stars, 1hr 37m
New World Disorder (1999) |   3 stars, 1hr 33m
New Year's Evil (1980) |   2.7 stars, 1hr 25m
New York (2009) |   3.5 stars, 2hr 31m
New York, I Love You (2008) |   3 stars, 1hr 43m
New York in the Fifties (2001) |   3.4 stars, 1hr 12m
Newlyweds (2011) |   3.1 stars, 1hr 35m
Next: A Primer on Urban Painting (2005) |   3.8 stars, 1hr 35m
Next Avengers: Heroes of Tomorrow (2008) |   3.9 stars, 1hr 18m
Nexus: The Drug Conspiracy (2010) |   2.7 stars, 1hr 21m
Niagara Motel (2006) |   2.9 stars, 1hr 28m
Nic and Tristan Go Mega Dega (2009) |   3.4 stars, 1hr 16m
Nice Guy Johnny (2010) |   3.3 stars, 1hr 30m
Nick DiPaolo: Raw Nerve (2011) |   3.3 stars, 55m
Nick Kroll: Thank You Very Cool (2011) |   3.1 stars, 1hr 3m
Nick Swardson's Pretend Time (2010-2011) |   3.4 stars, 2 Seasons
Nick Swardson: Seriously, Who Farted? (2009) |   3.9 stars, 58m
Nico the Unicorn (1998) |   , 1hr 35m
Night (2009) |   3.6 stars, 20 Episodes
Night Catches Us (2010) |   3.6 stars, 1hr 29m
Night of the Comet (1984) |   3.4 stars, 1hr 35m
Night of the Demons (2009) |   3 stars, 1hr 32m
Night of the Running Man (1995) |   3.3 stars, 1hr 32m
Night of the Scarecrow (1995) |   3 stars, 1hr 24m
Night Raid 1931 (2010) |   3.4 stars, 16 Episodes
Night Riders of Montana (1951) |   3.3 stars, 1hr
Night Time in Nevada (1948) |   3 stars, 53m
Night Train (2009) |   3 stars, 1hr 30m
Night Train (1998) |   2.5 stars, 1hr 30m
Night Train to Munich (1940) |   3.3 stars, 1hr 34m
Night Train to Venice (1993) |   2 stars, 1hr 38m
Nightjohn (1996) |   3.9 stars, 1hr 36m
Nightmare Alley (2010) |   2 stars, 1hr 13m
Nightmare Next Door (2011) |   3.9 stars, 1 Season
Nightmares (1980) |   2.3 stars, 1hr 19m
Nightmares in Red, White and Blue (2009) |   3.8 stars, 1hr 36m
Nightmaster (1986) |   2.4 stars, 1hr 31m
Nightscare (1994) |   2.3 stars, 1hr 29m
Nightwish (1989) |   2.5 stars, 1hr 32m
Nikita (2010-2011) |   4.1 stars, 2 Seasons
Nine Dead (2009) |   3.2 stars, 1hr 26m
Nine Lives (2005) |   2.9 stars, 1hr 51m
Nine to Five (1980) |   3.5 stars, 1hr 49m
Ninja (2009) |   3.2 stars, 1hr 26m
Ninja Cheerleaders (2008) |   3 stars, 1hr 21m
Ninja Turtles: The Next Mutation (1997) |   3.6 stars, 26 Episodes
Ninjas vs. Vampires (2010) |   2.4 stars, 1hr 28m
Nip/Tuck (2003-2009) |   3.8 stars, 6 Seasons
Nirvana (1997) |   2.6 stars, 1hr 36m
Nirvana: Nevermind (2005) |   4.1 stars, 49m
Nirvana: Teen Spirit: Interviews (2007) |   3.3 stars, 1hr 21m
No Boundaries (2009) |   3 stars, 1hr 40m
No Code of Conduct (1998) |   3.3 stars, 1hr 30m
No Dead Heroes (1986) |   2.6 stars, 1hr 26m
No End in Sight (2007) |   3.8 stars, 1hr 41m
No Eres T�, Soy Yo (2010) |   3.8 stars, 1hr 40m
No Higher Love (1999) |   3.8 stars, 1hr 30m
No Impact Man: The Documentary (2009) |   3.6 stars, 1hr 31m
No Looking Back (1998) |   3.1 stars, 1hr 36m
No Man of Her Own (1950) |   3.8 stars, 1hr 37m
No Matter What (2011) |   , 1hr 34m
No Mercy (2010) |   3.7 stars, 2hr 3m
No One Killed Jessica (2011) |   3.6 stars, 2hr 17m
No One Knows About Persian Cats (2009) |   3.3 stars, 1hr 47m
No Ordinary Family (2010) |   4.1 stars, 1 Season
No Strings Attached (2011) |   3.7 stars, 1hr 47m
No Subtitles Necessary: Laszlo & Vilmos (2008) |   2.8 stars, 1hr 26m
No Turning Back (2001) |   3.2 stars, 1hr 39m
No Vacancy (1999) |   2.8 stars, 1hr 23m
No Way Home (1996) |   3.4 stars, 1hr 41m
No Way Out (1987) |   3.7 stars, 1hr 54m
Noah's Arc (2005-2006) |   3.7 stars, 2 Seasons
Noah's Arc: Jumping the Broom (2008) |   3.7 stars, 1hr 40m
Nobel Son (2008) |   3.1 stars, 1hr 50m
Noble Things (2008) |   3.5 stars, 1hr 37m
Nobody's Business (1996) |   , 58m
Nobody's Fool (1986) |   2.9 stars, 1hr 47m
NoBody's Perfect (2008) |   3.1 stars, 1hr 23m
Nobody Knows (2005) |   3.7 stars, 2hr 27m
Noel (2004) |   3.4 stars, 1hr 36m
Noir (2001) |   3.5 stars, 1 Season
Noise (2007) |   3 stars, 1hr 48m
Nola (2003) |   3.2 stars, 1hr 36m
Noonbory & the Super 7 (2009) |   3.4 stars, 1 Season
Noorie (1979) |   2.7 stars, 1hr 55m
Noose for a Gunman (1960) |   3.4 stars, 1hr 9m
Nora (2000) |   2.9 stars,
Norm MacDonald: Me Doing Stand-Up (2011) |   3.6 stars, 1hr
North & South (2004) |   4.2 stars, 4 Episodes
North Dallas Forty (1979) |   3.3 stars, 1hr 58m
North Face (2008) |   3.8 stars, 2hr 1m
North of Chiang Mai (1992) |   2.6 stars, 1hr 38m
North Shore (1987) |   3.6 stars, 1hr 35m
Northeast (2011) |   , 1hr 16m
Northwest Frontier (1959) |   3.4 stars, 2hr 10m
Norwegian Ninja (2010) |   2.8 stars, 1hr 20m
Norwegian Wood (2010) |   3.1 stars, 2hr 13m
Norwood (1970) |   2.4 stars, 1hr 34m
Nosferatu: Original Version (1929) |   3.5 stars, 1hr 20m
Nostalgia for the Light (2010) |   3.4 stars, 1hr 29m
Nostradamus: Prophet of Doom (1995) |   3.5 stars, 42m
Not Another Not Another Movie (2011) |   2.2 stars, 1hr 39m
Not Another Teen Movie (2001) |   3.4 stars, 1hr 28m
Not of This Earth (1988) |   2.7 stars, 1hr 20m
Not Quite Hollywood (2008) |   3.4 stars, 1hr 43m
Not Since You (2009) |   3.3 stars, 1hr 27m
Not the Messiah (2009) |   3.3 stars, 1hr 31m
Not Without My Daughter (1991) |   3.7 stars, 1hr 55m
Not Your Typical Bigfoot Movie (2008) |   3 stars, 1hr 15m
Note by Note: The Making of Steinway L1037 (2007) |   4 stars, 1hr 20m
Nothing But the Truth (2008) |   3.6 stars, 1hr 47m
Nothing But Trouble (1991) |   3.4 stars, 1hr 33m
Notorious BIG: Bigger Than Life (2007) |   3.4 stars, 1hr 40m
Nova scienceNOW: How Does the Brain Work? (2011) |   4.1 stars, 53m
Novo (2002) |   2.9 stars, 1hr 33m
Now & Later (2009) |   3.4 stars, 1hr 39m
NOW on PBS: Fixing the Future (2010) |   3.6 stars, 55m
Now That's Funny (2005) |   2.8 stars, 1hr 26m
Nowhere in Africa (2001) |   3.6 stars, 2hr 21m
Nowhere Man (2005) |   2.1 stars, 1hr 17m
Nowhere to Hide (2009) |   3.6 stars, 1hr 32m
Nude for Satan (1974) |   2.3 stars, 1hr 22m
Nude Nuns With Big Guns (2010) |   2.7 stars, 1hr 31m
Numb3rs (2005-2009) |   4 stars, 6 Seasons
Number One With a Bullet (1987) |   2.8 stars, 1hr 40m
Numbers Around the Globe (2009) |   3.4 stars, 2 Episodes
